,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
Australia,AUS,East Asia & Pacific,High income,Yes (some areas),,25 March,"2,364",,,,,"Localized closures. ""Please contact your school or state or territory education department for information about school shut downs during the #coronavirus crisis""",Yes,25 May,,,,"""The decision to not proceed with NAPLAN in 2020 has been taken to assist school leaders, teachers and support staff to focus on the wellbeing of students and continuity of education, including potential online and remote learning.""

Localized decisions being made about specific distance learning strategies",Yes,No,No,No,,,,,,,Yes,NAPLAN cancelled for 2020,,,Yes,One cash payments for seniors as well as smaller one time payments for individuals and families (Gentilini),Yes,"(March 22) ""Legislation in the 
@Aust_Parliament
 being introduced today will help families with the cost of child care and provide support for child care centres to remain viable during the #coronavirus emergency
#COVID19Aus #coronavirusaus #ozedu""

Legislation introduced March 25",,,"The government will provide a one-off $750 payment to social security, veteran and other income support recipients. (Gentilini)

Additional pension support

Wage subsidy",https://twitter.com/Eduspokesperson,https://www.usatoday.com/story/entertainment/celebrities/2020/03/25/coronavirus-bindi-irwin-wedding-hours-before-australia-curfew/5076765002/,,,
Austria,AUT,Europe & Central Asia,High income,Yes,,16 March,"1,648",Indefinitely,,,,Primary schools are only open as care centers for younger students who do not have care at home during the day; all secondary schools closed and teachers are encouraged to give work online; universities transitioning to online instruction.,Yes,18 May,,,,At secondary and university level,Yes,Yes,No,No,No,,Yes,"Webpage with information, links, and resources for parents. Most materials are in German. ",,,,,,,,,Yes,Temporary waiving of conditionalities to receive the childcare benefit (i.e. obligatory health examinations that usually have to take place at fixed times during pregnancy until age 5 of the child). (Gentilini),,,"""Cash assistance for one-person companies and freelancers affected by the crisis (e.g. service providers, artists, etc.) through a hardship fund, implemented by the Austrian Economic Chamber. Design details to be
announced"" (Gentilini)

Paid sick leave

Wage subsidies","https://www.bmbwf.gv.at/Ministerium/Informationspflicht/corona/corona_status.html

https://www.austria.info/en/service-and-facts/coronavirus-information

https://www.politico.eu/article/the-austrian-ski-town-that-spread-coronavirus-across-the-continent/",https://www.bmbwf.gv.at/Themen/schule/beratung/corona/corona_fl/corona_unt_eltern.html,https://www.facebook.com/wissensministerium/,,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,Yes,,7 March,>10,20 March,2,Yes,,"""As it is known, according to the order of the Cabinet of Ministers, from 10 to 20 March 2020 (first educational day of March) will be the purpose of prevention of infections and continuation of medical-prophylactic, disinfectant and other preventive measures in all educational institutions throughout the country. 27) the educational, training and educational process is suspended in all educational institutions and all activities related to this are postponed.""",No,,,,,"Video and game based lessons available online through the MoE

""Lesson time"" educational programming broadcast on TV. Timetable available of when different lessons will be on. Lessons broadcast in both Azerbaijani and Russian

""Dear Students, Dear Parents,
5pm a week starting March 11, from 10am to 4pm, the ""Culture"" channel will launch a TV series called ""Lesson Time"". The program will cover all classes and provide brief explanations and instructions on the subject matter.""

""As a result of the collaboration of the Ministry of Education and Microsoft, students have been offered free access to the Minecraft Education Edition game-based learning environment.""",Yes,No,Yes,No,Yes,Television programmes broadcast in Azerbijani and Russian daily.,Yes,"Many resources posted online for parents, teachers, and students. Nearly all are in Azerbijani.",,,,,,,,,,,,,,https://www.nytimes.com/reuters/2020/03/12/world/europe/12reuters-health-coronavirus-azerbaijan.html,https://edu.gov.az/en,https://www.facebook.com/tehsil.gov.az,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,Yes,,16 March,1,14 April,4,Yes,Indefinitely,Closed all schools after first confirmed case on the island.,No,,,,,"MoE launching 'vitual school' - ""Live"" lessons for both primary and secondary school daily. ",Yes,No,No,No,No,All materials in English,Yes,Parent guide available for online learning and MoE's virtual portal. All materials are in English. ,,Yes,Delayed until mid-July,,,,,,,,,,,https://www.ministryofeducationbahamas.com/,https://www.bahamasvirtuallearning.com/parents.html,https://www.facebook.com/ministryofeducationbah/,,
Bahrain,BHR,Middle East & North Africa,High income,Yes,,25 February,23,2 weeks,2,,,All public and private schools closed initially for two weeks beginning Feb 25th and subsequently extended.,School year ended,,,,,Online learning materials and support for teachers to transition to online learning available through MoE. ,Yes,No,Yes,No,Yes,"Materials at the primary level available in Arabic, English, and French",Yes,Materials for parents available on MoE's distance learning portal. Most available in Arabic and English.,,,,,,,,,,,,,Utility obligation support; unemployment benefits,https://english.alarabiya.net/en/News/gulf/2020/02/25/Bahrain-suspends-all-private-public-schools-amid-coronavirus-outbreak.html,https://www.instagram.com/moebahrain/,https://www.facebook.com/MOEBahrain/,,
Bangladesh,BGD,South Asia,Lower middle income,Yes,,18 March,14,,,,,Schools will remain closed until August 8th,No,,,,,"""To maintain continuity of sixth to tenth grade teaching during the closed period, the ongoing program of ""My School in my house"" is a routine of March 25, themed class on ""Parliament Bangladesh Television"".",No,No,Yes,No,No,Television programmes broadcast in Bangla,No,,,,,,,,Yes,Benefit under existing cash transfer will increase,,,Yes,Food subsidies (reducing price of rice) (Gentilini),Wage subsidy,https://moedu.gov.bd/site/view/press_release/-,https://tbsnews.net/international/coronavirus-chronicle/bangladesh-confirms-first-coronavirus-death-57961,https://www.facebook.com/moebdgov/,,
Barbados,BRB,Latin America & Caribbean,High income,Yes,,19 March,10,Indefinitely,,,,Ended school term two days early to have further consultations RE: COVID response (closed March 18th; originally scheduled for March 20),Yes,8 June,,,,MoE advertising online distance learning through Google Classroom,Yes,No,No,No,No,Online materials in English,No,,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,,,,https://mes.gov.bb/,https://www.cxc.org/may-june-strategy-2020/,https://www.facebook.com/METIBarbados,,
Belarus,BLR,Europe & Central Asia,Upper middle income,No,,,,,,,,Spring holidays extended by one week and teachers are given the option of working from home through MoE's online portal. ,N/A,,,,,Teachers given the option of working from open. Online portal available where teachers deliver the national curriculum. ,Yes,,,,,,,,,,,,,,,,,,,,,https://edu.gov.by/en-uk/,,https://www.facebook.com/belarusminedu/,,
Belgium,BEL,Europe & Central Asia,High income,Yes,,16 March,399,Indefinitely,,,,Decision made to close schools on March 12 effective March 16th. Schools instructed to still provide daycare for working parents. ,Yes,18 May,,,,"Regional governments discussing options including online, TV, and radio",,,,,,,,,,,,,,,,,Yes,Schools remain open as childcare centers for parents in need,,,Utility/financial obligations support; additional unemployment benefits; healthcare insurance support (Gentilini),https://www.politico.eu/article/how-europe-is-responding-to-the-coronavirus-pandemic/,https://www.brusselstimes.com/belgium/100241/schools-out-how-belgium-is-preparing-for-the-school-suspension-flanders-wallonia-brussels-creches-schools-children-covid19-coronavirus/,,,
Belize,BLZ,Latin America & Caribbean,Upper middle income,Yes,,18 March,0,2 weeks,2,,,"All schools will close on March 20th for 2 weeks (announcement made March 18th). Initial closures extended indefnitely.

Secondary school students can return to schools from June 15th to prepare for exams. Pre-primary and primary schools will begin to reopen August 10.",Yes,15 June,,,,"Schools are asked to share homebased learning programs with students which may include online tools and communication.

To access daily online activities starting today Monday, March 23rd, 2020 at grade level for primary schools, please visit us at www.moe.gov.bz 

Online teacher training available to support teacher development and professional development hours. ",Yes,No,No,No,,,Yes,Information for parents posted on MoE website. Materials are all in English.,,Yes,"Primary school exams suspended; CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,Yes,MoE delivering school meals and hygiene packs to students still in need to school feeding programs while at home,,"https://belizing.com/coronavirus/

https://www.cxc.org/may-june-strategy-2020/",http://health.gov.bz/www/component/content/article/177-general-health/1023-belize-announces-new-measures-in-response-to-covid-19,https://www.facebook.com/BelizeMOEYS/,,
Benin,BEN,Sub-Saharan Africa,Low income,Yes,,8 April,,,,,,"Broader lockdowns and restrictions put in place on March 27th, but it's not clear whether this applies to schools at this time. ",Yes,11 May,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/gouvbenin?lang=en,,,,
Bermuda,BMU,North America,High income,Yes,,23 March,0,30 March,1,Yes,Indefinitely,"School closures announced with many other closures. Will be re-evaluated after first week. 

Extended following Easter break. ",Yes,25 May,,,,Schools instructured to continue with remote learning programs on April 20.,Yes,No,No,No,,,,,,,,,,,,,,,,,,https://www.moed.bm/District/5847-Untitled.html,https://www.moed.bm/view/6220.pdf,https://www.facebook.com/BermudaPublicSchools/,,
